benchmark,time,kwh,watts,cycles,instructions,r532010,r538010,cache-references,cache-misses
sleep26,25,0.0003,45.712,888521,579547,0,8,12370,973
sleep27,26,0.0003,45.7230769231,851168,559391,0,6,13148,452
sleep28,27,0.0003,45.6777777778,845215,561178,0,8,13360,796
sleep29,28,0.0003,45.625,846842,559423,0,7,13133,784
sleep30,29,0.0003,46.9965517241,852010,564462,0,6,12389,496
sleep31,30,0.0003,45.8466666667,843310,562265,0,7,12475,563
sleep32,31,0.0004,45.9612903226,848901,559234,0,8,13126,608
sleep33,32,0.0004,45.75,877869,566071,0,8,12294,571
sleep34,33,0.0004,45.7575757576,844844,560705,0,8,13405,570
sleep35,34,0.0004,46.0411764706,841888,559349,0,8,12206,760
sleep36,35,0.0004,46.0457142857,848388,554007,0,8,12395,759
sleep37,36,0.0004,45.8888888889,848394,558997,0,6,12946,815
sleep38,37,0.0004,46.0243243243,874197,571587,0,8,14136,1102
sleep39,38,0.0004,45.8394736842,861875,568136,0,8,13939,1057
sleep40,39,0.0005,46.0102564103,860314,558245,0,8,12757,1068
sleep41,40,0.0005,46.03,867427,559834,0,7,13723,1067
sleep42,41,0.0005,45.9926829268,894090,562497,0,8,12363,1134
sleep43,42,0.0005,45.9404761905,866961,567986,0,8,13304,1156
sleep44,43,0.0005,45.7720930233,885582,565219,0,9,13258,1188
sleep45,44,0.0005,45.7704545455,861986,563748,0,8,12380,1061
sleep46,45,0.0005,45.9066666667,859597,567492,0,6,13271,998
sleep47,46,0.0005,45.9347826087,863209,558773,0,8,12265,1069
sleep48,47,0.0005,45.8765957447,862021,562548,0,8,13394,1011
sleep49,48,0.0006,46.0708333333,864004,565648,0,9,13108,1203
sleep50,49,0.0006,46.0551020408,863841,562870,0,8,13307,964
sleep51,50,0.0006,46.088,859023,566232,0,7,13275,1013
sleep52,51,0.0006,46.0509803922,858629,569532,0,8,12838,909
sleep53,52,0.0006,46.1538461538,872539,593217,0,8,12343,848
sleep54,53,0.0006,46.2113207547,890924,604326,0,9,13071,789
sleep55,54,0.0006,46.1759259259,859342,585320,0,6,13172,741
sleep56,55,0.0007,46.0945454545,862921,585091,0,8,12236,733
sleep57,56,0.0007,46.1553571429,865229,587792,0,7,13964,768
sleep58,57,0.0007,46.0649122807,876195,593491,0,9,12443,815
sleep59,58,0.0007,46.0431034483,857870,579534,0,8,13337,853
sleep60,59,0.0007,46.1389830508,879176,590097,0,8,13216,1079
sleep2,1,0.0,44.2,844488,558897,0,9,13879,747
sleep3,2,0.0,44.7,853048,560299,0,8,13218,945
sleep4,3,0.0,45.0666666667,871972,558375,0,8,12434,1009
sleep5,4,0.0,44.925,852255,564029,0,6,13186,972
sleep6,5,0.0,45.08,886310,579457,0,8,12541,943
sleep7,6,0.0,45.0333333333,866579,568861,0,6,13180,1019
sleep8,7,0.0,44.9428571429,860786,569022,0,6,13272,1008
sleep9,8,0.0001,45.2125,850919,558162,0,6,13263,993
sleep10,9,0.0001,45.0333333333,866290,563336,0,8,13416,870
sleep11,10,0.0001,45.21,862936,558809,0,8,13287,974
sleep12,11,0.0001,45.3454545455,873496,567181,0,9,13229,1015
sleep13,12,0.0001,45.4833333333,862497,562218,0,8,13511,1070
sleep14,13,0.0001,45.4,862626,567751,0,8,13224,1009
sleep15,14,0.0001,45.4928571429,858189,560515,0,6,13195,1077
sleep16,15,0.0001,45.6266666667,861516,562806,0,7,13378,1377
sleep17,16,0.0002,45.64375,872306,568001,0,8,13439,1123
sleep18,17,0.0002,45.3941176471,881981,561418,0,8,13395,1214
sleep19,18,0.0002,45.6777777778,865994,563392,0,8,13423,1458
sleep20,19,0.0002,45.7,874156,571233,0,7,13268,1092
sleep21,20,0.0002,45.75,888704,562611,0,8,13398,1031
sleep22,21,0.0002,45.6,863823,566372,0,8,13225,1113
sleep23,22,0.0002,45.6727272727,860990,565373,0,8,13335,1103
sleep24,23,0.0003,45.8434782609,858782,560266,0,8,13240,957
sleep25,24,0.0003,45.7041666667,861632,564003,0,7,13234,1073
sleep26,25,0.0003,45.996,871582,574185,0,7,13959,890
sleep27,26,0.0003,45.9423076923,849200,569580,0,9,13323,962
sleep28,27,0.0003,45.8703703704,861491,561179,0,6,12924,1138
sleep29,28,0.0003,45.9642857143,864422,562812,0,8,12827,1027
sleep30,30,0.0003,45.8766666667,858308,561486,0,6,13242,932
sleep31,30,0.0003,45.6333333333,893122,568063,0,8,13425,1310
sleep32,31,0.0003,45.9451612903,868465,562660,0,6,12973,1084
sleep33,32,0.0004,45.959375,860598,571551,0,8,13205,712
sleep34,33,0.0004,45.8333333333,865806,565854,0,6,13217,929
sleep35,34,0.0004,45.9147058824,847931,560198,0,8,13213,425
sleep36,35,0.0004,45.9285714286,884647,565795,0,8,13410,630
sleep37,36,0.0004,46.1722222222,851767,561743,0,8,12396,512
sleep38,37,0.0004,46.0459459459,847687,565704,0,6,13462,454
sleep39,38,0.0004,46.1447368421,869803,579431,0,8,13122,563
sleep40,39,0.0004,45.9512820513,851197,567686,0,7,13316,721
sleep41,40,0.0005,45.9525,872097,593021,0,8,13190,500
sleep42,41,0.0005,46.0585365854,852762,560785,0,8,13186,667
sleep43,42,0.0005,46.1880952381,884470,591008,0,8,13153,1053
sleep44,43,0.0005,45.9604651163,857798,558457,0,6,13005,1152
sleep45,44,0.0005,46.0727272727,872455,565807,0,6,13236,1036
sleep46,45,0.0005,46.1266666667,863324,563173,0,7,12299,1049
sleep47,46,0.0005,46.052173913,894157,571211,0,8,13320,1097
sleep48,47,0.0005,46.0765957447,853182,552917,0,6,13602,1072
sleep49,48,0.0006,46.1041666667,859476,561078,0,6,13259,1054
sleep50,49,0.0006,46.1489795918,905723,577918,0,8,13286,1123
sleep51,50,0.0006,46.11,865167,563063,0,7,13271,1161
sleep52,51,0.0006,46.2843137255,861042,562847,0,6,13269,972
sleep53,52,0.0006,46.1711538462,866100,561259,0,8,14074,1753
sleep54,53,0.0006,46.2,861873,559908,0,7,12331,1050
sleep55,54,0.0006,46.2425925926,857342,568866,0,8,13353,1033
sleep56,55,0.0007,46.3236363636,863020,561347,0,8,13332,1470
sleep57,56,0.0007,46.2357142857,876295,589411,0,9,12191,953
sleep58,57,0.0007,46.2,863528,590000,0,8,12143,822
sleep59,58,0.0007,46.1396551724,866674,591475,0,6,12421,1181
sleep60,59,0.0007,46.1644067797,865326,586284,0,9,13318,939
sleep2,1,0.0,44.3,861874,567661,0,8,13072,227
sleep3,2,0.0,44.85,834902,562740,0,8,12232,315
sleep4,3,0.0,44.9333333333,857731,565990,0,7,13381,329
sleep5,4,0.0,44.975,840273,566213,0,8,13237,704
sleep6,5,0.0,44.98,842265,561752,0,8,13008,322
sleep7,6,0.0,45.3833333333,845458,564133,0,9,13244,311
sleep8,7,0.0,44.9428571429,836734,553670,0,8,13710,345
sleep9,8,0.0001,45.5125,842797,564847,0,7,13098,494
sleep10,9,0.0001,45.3666666667,843205,565654,0,7,12326,483
sleep11,10,0.0001,45.49,891593,566127,0,8,12565,1093
sleep12,11,0.0001,45.5272727273,860100,563863,0,8,12330,1088
sleep13,12,0.0001,45.4333333333,862320,559891,0,9,12587,1102
sleep14,13,0.0001,45.6076923077,860581,559560,0,8,12488,1722
sleep15,14,0.0001,45.4571428571,860320,562101,0,8,13176,1070
sleep16,15,0.0001,45.6333333333,857414,560467,0,8,12608,1121
sleep17,16,0.0002,45.49375,869631,563826,0,6,13527,960
sleep18,17,0.0002,45.7705882353,884782,562834,0,8,12464,1767
sleep19,18,0.0002,45.5722222222,858540,561946,0,7,13263,1684
sleep20,19,0.0002,45.6263157895,862064,561286,0,8,13189,958
sleep21,20,0.0002,45.7,872225,567525,0,9,13433,1069
sleep22,21,0.0002,45.7476190476,863127,567853,0,8,12472,1098
sleep23,22,0.0002,45.8181818182,857018,562780,0,9,13265,1063
sleep24,23,0.0002,45.8217391304,864190,562123,0,7,13334,1005
sleep25,24,0.0003,45.8291666667,867488,567218,0,9,13245,1073
sleep26,25,0.0003,45.964,863507,560766,0,8,13187,1118
sleep27,26,0.0003,45.85,862270,554696,0,8,13257,1144
sleep28,27,0.0003,45.9888888889,862268,559649,0,6,13082,1128
sleep29,28,0.0003,45.9535714286,860197,553639,0,7,12384,1157
sleep30,29,0.0003,45.9344827586,860738,564569,0,9,12303,959
sleep31,30,0.0003,46.01,878188,568556,0,8,13132,1004
sleep32,31,0.0003,45.9935483871,863568,560202,0,9,12988,977
sleep33,32,0.0004,45.928125,856124,550862,0,8,13109,1092
sleep34,33,0.0004,46.1484848485,858095,553059,0,8,12137,1039
sleep35,34,0.0004,46.0235294118,863708,561440,0,7,13300,1039
sleep36,35,0.0004,46.0428571429,856241,564264,0,7,12469,728
sleep37,36,0.0004,46.0722222222,848404,561823,0,8,13304,774
sleep38,37,0.0004,46.0567567568,840795,559425,0,9,13423,829
sleep39,38,0.0004,46.1263157895,867935,571713,0,6,13640,987
sleep40,39,0.0005,46.3230769231,868858,563624,0,8,13362,1073
sleep41,40,0.0005,46.005,865640,564584,0,8,12393,1132
sleep42,41,0.0005,46.2951219512,891508,568049,0,8,12236,1059
sleep43,41,0.0005,46.2902439024,864625,559770,0,8,13222,1029
sleep44,43,0.0005,46.1534883721,872611,567244,0,8,13326,1371
sleep45,44,0.0005,46.2045454545,859590,561022,0,8,13282,1041
sleep46,45,0.0005,46.26,860328,589697,0,8,13296,721
sleep47,46,0.0005,46.2608695652,859114,592238,0,8,12279,625
sleep48,47,0.0006,46.4340425532,881165,595782,0,8,13400,1190
sleep49,48,0.0006,47.0479166667,865412,588453,0,8,12173,828
sleep50,49,0.0006,46.9285714286,860611,594649,0,8,13052,718
sleep51,50,0.0006,46.832,859230,579465,0,8,13167,778
sleep52,51,0.0006,46.6862745098,859747,587685,0,6,13542,809
sleep53,52,0.0006,46.3923076923,864880,587225,0,8,13252,866
sleep54,53,0.0006,46.2905660377,861072,585468,0,9,12294,879
sleep55,54,0.0006,46.3944444444,871967,596318,0,8,12423,1280
sleep56,55,0.0007,46.3781818182,870381,591017,0,8,13435,670
sleep57,56,0.0007,46.3375,869938,588129,0,9,12298,833
sleep58,57,0.0007,46.3140350877,908076,613063,0,8,13199,736
sleep59,58,0.0007,46.4327586207,865576,587493,0,6,12495,780
sleep60,59,0.0007,46.3779661017,867345,588592,0,8,13761,774
sleep2,1,0.0,44.5,862145,561799,0,7,12139,251
sleep3,2,0.0,45.15,834711,555506,0,8,13213,302
sleep4,3,0.0,45.3666666667,840183,559390,0,8,12287,306
sleep5,4,0.0,45.175,840691,567209,0,6,13275,288
sleep6,5,0.0,45.46,845192,567059,0,7,12865,375
sleep7,6,0.0,45.6,837681,560498,0,7,12445,457
sleep8,7,0.0,45.3857142857,846070,558843,0,8,12426,327
sleep9,8,0.0001,45.55,876338,569695,0,6,13199,483
sleep10,9,0.0001,45.6666666667,836845,568588,0,6,13392,447
sleep11,10,0.0001,45.51,833802,552810,0,8,12387,357
sleep12,11,0.0001,45.5454545455,844435,565339,0,9,13405,662
sleep13,12,0.0001,45.5,840360,560095,0,8,13090,537
sleep14,13,0.0001,45.1076923077,845239,570864,0,8,12122,474
sleep15,14,0.0001,45.0071428571,846353,561382,0,8,12277,408
sleep16,15,0.0001,45.2466666667,871885,567797,0,8,13312,508
sleep17,16,0.0002,45.2125,840974,561111,0,8,13158,859
sleep18,17,0.0002,45.3294117647,854726,570784,0,8,13181,1058
sleep19,18,0.0002,45.5666666667,846943,562752,0,8,12107,453
sleep20,19,0.0002,45.4210526316,852398,564985,0,8,13194,666
sleep21,20,0.0002,45.675,850069,566408,0,7,13043,448
sleep22,21,0.0002,45.5714285714,844679,561861,0,9,12360,519
sleep23,22,0.0002,45.4727272727,846819,562086,0,8,12032,472
sleep24,23,0.0003,45.5782608696,843321,564085,0,8,13439,434
sleep25,24,0.0003,45.4125,839515,558812,0,7,13506,594
sleep26,25,0.0003,45.768,860075,565380,0,8,12130,460
sleep27,26,0.0003,45.6769230769,849608,569392,0,8,13074,527
sleep28,27,0.0003,45.5111111111,845943,564586,0,8,13246,554
sleep29,28,0.0003,45.7321428571,841608,560953,0,8,14611,556
sleep30,29,0.0003,45.9965517241,852417,563670,0,8,13268,520
sleep31,30,0.0003,45.72,854283,564816,0,8,13078,540
sleep32,31,0.0003,45.8419354839,848100,554608,0,8,13211,563
sleep33,32,0.0004,45.959375,856535,561609,0,7,12291,621
sleep34,33,0.0004,45.6757575758,846324,562767,0,8,12394,1102
sleep35,34,0.0004,45.5676470588,852192,561613,0,8,12994,561
sleep36,35,0.0004,45.84,855351,560766,0,6,13302,859
sleep37,36,0.0004,45.7333333333,882609,581933,0,8,13118,749
sleep38,37,0.0004,45.727027027,856823,567461,0,7,13149,538
sleep39,38,0.0004,45.7815789474,861009,568650,0,8,12340,614
sleep40,39,0.0004,45.7871794872,861942,591728,0,8,13206,715
sleep41,40,0.0005,45.9,889723,593455,0,8,13149,854
sleep42,41,0.0005,45.956097561,856975,591481,0,8,13349,810
sleep43,42,0.0005,45.8404761905,865789,594741,0,8,13858,621
sleep44,43,0.0005,46.0674418605,872792,593694,0,8,13254,756
sleep45,44,0.0005,46.1022727273,858290,588821,0,9,11926,717
sleep46,45,0.0005,45.8733333333,871129,591320,0,9,13051,863
sleep47,46,0.0005,46.1652173913,881693,595032,0,7,13762,672
sleep48,47,0.0005,45.9319148936,875661,590903,0,8,12437,907
sleep49,48,0.0006,46.1395833333,868490,593363,0,8,13442,618
sleep50,49,0.0006,46.012244898,861717,586442,0,8,13180,965
sleep51,50,0.0006,46.028,866798,588833,0,8,13294,987
sleep52,51,0.0006,46.0529411765,862410,579349,0,8,13111,618
sleep53,52,0.0006,46.0307692308,866888,597539,0,7,13323,794
sleep54,53,0.0006,46.0075471698,865287,586544,0,8,13496,697
sleep55,54,0.0006,46.1222222222,868828,587305,0,6,13317,761
sleep56,55,0.0006,46.1545454545,858274,584311,0,7,13893,755
sleep57,56,0.0007,45.9696428571,875620,589403,0,6,13294,714
sleep58,57,0.0007,45.9736842105,864127,578517,0,8,12314,739
sleep59,58,0.0007,46.0086206897,868138,584631,0,8,13307,833
sleep60,59,0.0007,45.9983050847,874709,585151,0,9,13064,930
sleep2,1,0.0,44.4,834729,565344,0,8,13447,267
sleep3,2,0.0,44.65,838643,567843,0,6,12225,304
sleep4,3,0.0,44.7333333333,847850,565381,0,8,13302,330
sleep5,4,0.0,44.8,835983,565671,0,7,13206,349
sleep6,5,0.0,44.88,842711,566156,0,8,12961,311
sleep7,6,0.0,44.8,843266,565817,0,8,13586,399
sleep8,7,0.0,45.3142857143,840691,559698,0,6,13457,345
sleep9,8,0.0001,44.925,839753,555588,0,8,13372,312
sleep10,9,0.0001,45.1333333333,848966,568373,0,8,12698,394
sleep11,10,0.0001,45.04,858364,564090,0,8,12094,465
sleep12,11,0.0001,45.2454545455,847576,560460,0,8,13114,404
sleep13,12,0.0001,45.2333333333,844074,569063,0,8,14102,359
sleep14,13,0.0001,45.5076923077,881159,569658,0,8,12166,401
sleep15,14,0.0001,45.5285714286,842547,564259,0,8,13499,438
sleep16,15,0.0002,45.6666666667,845395,563016,0,8,13132,407
sleep17,16,0.0002,45.3125,858659,556060,0,8,13313,495
sleep18,17,0.0002,45.6411764706,844470,561998,0,8,12205,397
sleep19,18,0.0002,45.3388888889,847329,563866,0,8,13083,483
sleep20,19,0.0002,45.6052631579,849695,564786,0,9,13563,529
sleep21,20,0.0002,45.5,850215,568564,0,9,13222,540
sleep22,21,0.0002,45.680952381,842858,567637,0,8,13301,761
sleep23,22,0.0002,45.6454545455,845034,564951,0,8,12143,502
sleep24,23,0.0002,45.4956521739,853220,567517,0,9,13226,434
sleep25,24,0.0003,45.5541666667,836575,552100,0,8,13112,606
sleep26,25,0.0003,45.508,862174,571810,0,7,13174,568
sleep27,26,0.0003,45.7538461538,859325,566723,0,8,12154,469
sleep28,27,0.0003,45.8925925926,850820,564186,0,8,13085,717
sleep29,28,0.0003,45.8785714286,848735,565428,0,8,14220,740
sleep30,29,0.0003,45.8068965517,840266,549852,0,8,13356,623
sleep31,30,0.0003,45.85,847934,563882,0,7,12354,648
sleep32,31,0.0004,45.9032258065,852819,560544,0,8,13134,497
sleep33,32,0.0004,46.065625,853141,566216,0,8,13276,938
sleep34,33,0.0004,46.0393939394,872385,581170,0,8,12381,780
sleep35,34,0.0004,45.6882352941,884292,563609,0,8,13130,650
sleep36,35,0.0004,46.0514285714,848255,560265,0,7,13362,632
sleep37,36,0.0004,45.9694444444,847213,569404,0,8,12264,704
sleep38,37,0.0004,45.8567567568,850280,561521,0,7,13897,703
sleep39,38,0.0004,46.0473684211,847852,564180,0,6,13125,832
sleep40,39,0.0004,45.8512820513,863020,571273,0,8,12365,925
sleep41,40,0.0005,46.155,849821,572621,0,9,13334,708
sleep42,41,0.0005,46.0073170732,859195,583029,0,8,13410,763
sleep43,42,0.0005,46.0023809524,865312,588201,0,6,12221,604
sleep44,43,0.0005,45.8395348837,864751,591100,0,6,12908,739
sleep45,44,0.0005,45.8386363636,861439,583454,0,8,13814,496
sleep46,45,0.0005,45.9555555556,856171,589557,0,8,12334,773
sleep47,46,0.0005,45.8369565217,890073,593419,0,9,13468,747
sleep48,47,0.0005,45.9617021277,872143,591787,0,7,13238,765
sleep49,48,0.0006,46.05625,875772,590580,0,8,13111,589
sleep50,49,0.0006,46.1,880516,591643,0,7,13331,732
sleep51,50,0.0006,45.996,866728,592229,0,8,12339,764
sleep52,51,0.0006,45.8647058824,874438,590702,0,8,12451,792
sleep53,52,0.0006,46.1346153846,869428,591414,0,8,13194,844
sleep54,53,0.0006,46.0283018868,862702,587733,0,6,12229,815
sleep55,54,0.0006,46.0833333333,866023,594167,0,8,13153,653
sleep56,55,0.0006,46.0527272727,866015,586817,0,9,13793,677
sleep57,56,0.0007,46.3089285714,868661,593231,0,6,12370,745
sleep58,57,0.0007,46.2403508772,891868,583654,0,8,13145,903
sleep59,58,0.0007,46.2086206897,863734,589871,0,8,13158,729
sleep60,59,0.0007,46.0288135593,860436,589922,0,6,12181,728
